総覧ID,総覧抄録ID,遺跡名,遺跡名かな,本内順位,遺跡所在地,所在地2,lon,lat,所在地ふりがな,市町村コード,遺跡番号,北緯（日本測地系）,東経（日本測地系）,北緯（世界測地系）,東経（世界測地系）,調査期間|調査期間,調査期間1,調査期間2,調査面積|調査面積,調査面積2,調査原因
24566,43036,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市寿町一丁目5の4・6,05寿町,139.478561,35.673687,とうきょうとふちゅうしことぶきちょういっちょうめ5の4・6,13206,2,354025,1392841,,,20070806-20080125,2007,,1732,1732,東京消防庁府中消防署新築工事
25234,44095,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市寿町1の10の2,05寿町,139.478683,35.675373,とうきょうとふちゅうしことぶきちょう1の10の2,13206,2,354032,1392834,,,20100804-20100903,2010,,538,538,都立農業高等学校実習棟改築その他工事
25661,44768,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市宮西町一丁目26番地,02宮西町,139.477341,35.67115,とうきょうとふちゅうしみやにしちょういっちょうめ26ばんち,13206,2,354014,1392838,,,20120116-20120322,2012,,410,410,府中合同庁舎改築事業
26890,47591,府中宿遺跡（武蔵国府関連遺跡）,ふちゅうじゅくいせき（むさしこくふかんれんいせき）,,東京都府中市宮西町一丁目地内,02宮西町,139.47757,35.67189,とうきょうとふちゅうしみやにしまちいっちょうめちない,13206,7,354008,1392838,,,20040419-20040423,2004,,20,20,府中市都市計画道路3・4・22号線街路整備事業
26890,47592,清水が丘遺跡（武蔵国府関連遺跡）,しみずがおかいせき（むさしこくふかんれんいせき）,,東京都府中市清水が丘二丁目地内,10清水が丘,139.495667,35.665409,とうきょうとふちゅうししみずがおかにちょうめちない,13206,26,354000,1392949,,,20021118-20030320|20030401-20030831|20040426-20040521,2002,,3000|1372|100,4472,府中市都市計画道路3・4・7号線建設事業
26894,47596,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市宮町一丁目ほか,01宮町,139.481461,35.67123,とうきょうとふちゅうしみやまちいっちょうめほか,13206,2,354012,1392900,,,20011001-20020325|20011025-20020125|20030616-20030630,2001,,829|400|200,1429,都市計画道路延伸事業
26895,47597,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市若松町一丁目,13若松町,139.50029,35.668804,とうきょうとふちゅうしわかまつちょういっちょうめ,13206,2,354009,1392952,,,20030924-20031031,2003,,240,240,歩道設置工事
27727,49064,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市緑町一丁目27番1,07緑町,139.484695,35.673508,とうきょうとふちゅうしみどりちょういっちょうめ27ばん1,13206,2,354024,1392905,,,20141027-20141114,2014,,50,50,東京都北多摩南部建設事務所改修工事
28704,50655,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市日吉町5番地,14日吉町,139.481644,35.666351,とうきょうとふちゅうしひよしちょう5ばんち,13206,2,354001,1392913,,,20041209-20050627,2004,,740,740,配水本管新設工事
28724,50706,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市寿町1の10の2,05寿町,139.478683,35.675373,とうきょうとふちゅうしことぶきちょう1の10の2,13206,2-227,354032,1392842,,,20051114-20060214,2005,,1021,1021,都立農業高等学校耐震補強及び一部改築工事
