総覧ID,総覧抄録ID,種別,時代,主な遺構,住居,掘立,井戸,道路,主な遺物,特記事項,遺跡名,遺跡名かな,本内順位,遺跡所在地,lon,lat,所在地ふりがな,市町村コード,遺跡番号,北緯（日本測地系）,東経（日本測地系）,北緯（世界測地系）,東経（世界測地系）,調査期間,調査面積,調査面積2,調査原因
48036,91073,集落|官衙,古代(細分不明),竪穴建物4|掘立柱建物1|土坑1,4,1,,,土師器（杯）|須恵器（杯+皿+長頸瓶）,主な時代：奈良から平安,武蔵国府関連遺跡　ブランフィル地区　第1464次,むさしこくふかんれんいせき　ぶらんふぃるちく,23,東京都府中市白糸台6-25-3,139.516907,35.662762,とうきょうとふちゅうししらいとだいろくのにじゅうごのさん,13206,2,,,353944,1393101,20090908-20090911,5.4,5.4,
47673,91074,集落|官衙,古代(細分不明),竪穴建物1|土坑1,1,,,,須恵器（杯）,主な時代：奈良から平安,武蔵国府関連遺跡　フルーリー府中地区　第1009次,むさしこくふかんれんいせき,33,東京都府中市府中町2-5-1,139.483368,35.671833,とうきょうとふちゅうし,13206,2,,,,,19980612-19980901,401.4,401.4,建物新築
47694,91075,集落|官衙,古代(細分不明),溝4|土坑16,,,,,,,武蔵国府関連遺跡　フルール地区　第690次,むさしこくふかんれんいせき　ふるーる,40,東京都府中市片町1-18-5,139.470352,35.670921,とうきょうとふちゅうしかたまち,13206,2,,,354013,1392814,19920727-19920807,79.1,79.1,集合住宅建設
47679,91076,集落|官衙,古代(細分不明),竪穴建物6|溝3|土坑1,6,,,,土師器（杯+甕）|ロクロ土師器（椀）|須恵器（杯+蓋）|鉄製品（刀子）,,武蔵国府関連遺跡　ふるーる府中地区　第987次,むさしこくふかんれんいせき,45,東京都府中市本町1-10-1,139.47757,35.667942,とうきょうとふちゅうし,13206,2,,,,,199971215-19980219,77.5,77.5,建物新築
47679,91077,集落|官衙,古代(細分不明),土坑1,,,,,,,武蔵国府関連遺跡　プレイランドオリンピア地区　第947次,むさしこくふかんれんいせき,42,東京都府中市片町2-21-14,139.468979,35.668827,とうきょうとふちゅうし,13206,2,,,,,19970224-19970527,224.2,224.2,建物新築
48036,91078,集落|官衙,古代(細分不明),土坑5,,,,,,,武蔵国府関連遺跡　プレジール地区　第1444次,むさしこくふかんれんいせき　ぷれじーるちく,2,東京都府中市小柳町1-28-2,139.50174,35.664448,とうきょうとふちゅうしこやなぎちょういちのにじゅうはちのに,13206,2,,,353950,1393006,20090402-20090430,119,119,
62556,91079,集落|官衙,古代(細分不明),土坑13,,,,,,,武蔵国府関連遺跡　プレシス府中リヴェスタ地区　第1638次,むさしこくふかんれん遺跡,,東京都府中市八幡町3--1,139.490952,35.670052,とうきょうとふちゅうしはちまんちょう3-2-1,13206,2,,,,,20130902-20131011,200.8,200.8,共同住宅建設
47686,91080,集落|官衙,古代(細分不明),土坑2,,,,,,,武蔵国府関連遺跡　プレシャスハウス地区　第872次,むさしこくふかんれんいせき,22,東京都府中市八幡町1-15-2,139.483826,35.669647,とうきょうとふちゅうしはちまんちょう,13206,2,,,354000,1392913,19951116-19960125,90.7,90.7,集合住宅
47680,91081,集落|官衙,古代(細分不明),溝1|土坑1,,,,,須恵器（杯）|砥石,主な時代：奈良から平安,武蔵国府関連遺跡　プレステージ小柳地区　第1080次,むさしこくふかんれんいせき,15,東京都府中市小柳町1-1-7,139.504547,35.666367,とうきょうとふちゅうし,13206,2,,,,,19991102-19991130,192 .9,192.9,建物新築
47685,91082,集落,奈良|平安,竪穴建物5|土坑3|溝1,5,,,,,,武蔵国府関連遺跡　ブロッサム府中地区　第302次,むさしこくふかんれんいせき,3,東京都府中市宮西町1-15-6,139.477158,35.672115,とうきょうとふちゅうし,13206,2,,,,,19860320-19860407,63,63,建物新築等
48036,91083,集落,奈良|平安,竪穴建物12|掘立柱建物1|土坑4|溝2,12,1,,,,,武蔵国府関連遺跡　ぷろむねいど地区　第1453次,むさしこくふかんれんいせき　ぷろむねいどちく,11,東京都府中市寿町3-3-2,139.474045,35.673538,とうきょうとふちゅうしことぶきちょうさんのさんのに,13206,2,,,354022,1392826,20090701-20090803,105.5,105.5,
47686,91084,集落,奈良|平安,竪穴建物1|道路1,1,,,1,,,武蔵国府関連遺跡　ペデストリアンデッキ地区　第860次,むさしこくふかんれんいせき,2,東京都府中市宮町1-12・14,139.480255,35.671413,とうきょうとふちゅうしみやまち,13206,2,,,354006,1392901,19950809-19951006,95.9,95.9,店舗
48036,91085,集落,奈良|平安,竪穴建物8|掘立柱建物3|土坑2,8,3,,,,,武蔵国府関連遺跡　ベルコートタウン府中市片町地区　第1472次,むさしこくふかんれんいせき　べるこーとたうんふちゅうしかたまちちく,31,東京都府中市片町,139.471237,35.66972,とうきょうとふちゅうしかたまち,13206,2,,,354016,1392818,20090928-20091022,135.6,135.6,
48036,91086,集落,奈良|平安,竪穴建物9|掘立柱建物1|柵1|土坑3,9,1,,,,,武蔵国府関連遺跡　ベルジュール府中地区　第1480次,むさしこくふかんれんいせき　べるじゅーるふちゅうちく,38,東京都府中市八幡町2-29-5,139.489609,35.669319,とうきょうとふちゅうしはちまんちょうにのにじゅうきゅうのご,13206,2,,,354008,1392922,20091214-20091228,150.9,150.9,
47678,91087,集落,奈良|平安,竪穴建物16|掘立柱建物1|柵1|土坑9|溝3,16,1,,,,,武蔵国府関連遺跡　ホテルコンチネンタル別館地区　第251次,むさしこくふかんれんいせき,12,東京都府中市府中町1-5-1,139.481735,35.672295,とうきょうとふちゅうし,13206,2,,,,,19841008-19841227,212.1,212.1,建物新築
47687,91088,集落,奈良|平安,竪穴建物6|土坑2,6,,,,緑釉陶器|墨書土器,,武蔵国府関連遺跡　ホテル中央館地区　第910次,むさしこくふかんれんいせき,12,東京都府中市寿町2-1-11,139.477493,35.673065,とうきょうとふちゅうしことぶきちょう,13206,2,,,354011,1392853,19960820-19960927,233.6,233.6,ホテル
47686,91089,集落,奈良|平安,竪穴建物8|掘立柱建物2|土坑13,8,2,,,土師器|須恵器|緑釉陶器|軒瓦|刀子|鉄滓|土錘,,武蔵国府関連遺跡　ボニータ地区　第858次,むさしこくふかんれんいせき,51,東京都府中市本町2-17-1,139.475479,35.666679,とうきょうとふちゅうしほんまち,13206,2,,,353949,1392845,19950808-19951114,399.7,399.7,集合住宅
48036,91090,集落,奈良|平安,溝２,,,,,,,武蔵国府関連遺跡　ボヌール地区　第1463次,むさしこくふかんれんいせき　ぼぬーるちく,22,東京都府中市西府町1-12-23/24,139.455765,35.673405,とうきょうとふちゅうしにしふちょういちのじゅうにのにじゅうさん　にじゅうよん,13206,2,,,354023,1392720,20090824-20090910,143.3,143.3,
47687,91091,集落|官衙,奈良|平安,掘立柱建物1|道路1|井戸1|土坑2|溝4,,1,1,1,,国衙北側の門と考えられる遺構を検出,武蔵国府関連遺跡　ボヌール府中地区　第937次,むさしこくふかんれんいせき,5,東京都府中市宮西町5-25-1,139.476639,35.669048,とうきょうとふちゅうしみやにしちょう,13206,2,,,353957,1392847,19961209-19970305,507.9,507.9,集合住宅
47694,91093,集落|官衙,奈良|平安,竪穴建物5|掘立柱建物3|柵1|地下式横穴墓6|土坑23,5,3,,,,掘り込み地業を検出。押印「□磨寺」の付く瓦出土。,武蔵国府関連遺跡　マイウスハイツ地区　第673次,むさしこくふかんれんいせき　まいうすはいつ,10,東京都府中市若松町1-12-13,139.500122,35.668522,とうきょうとふちゅうしわかまつちょう,13206,2,,,354003,1393000,19920407-19920420,304,304,集合住宅建設
47679,91095,集落,奈良|平安,竪穴建物9|掘立柱建物7|土坑3,9,7,,,,,武蔵国府関連遺跡　マイキャッスル府中西地区　第988次,むさしこくふかんれんいせき,44,東京都府中市本宿町2-15-10,139.460464,35.673344,とうきょうとふちゅうし,13206,2,,,,,19971222-19980307,559.8,559.8,建物新築
47680,91096,集落,奈良|平安,竪穴建物4|土坑3|溝4,4,,,,,,武蔵国府関連遺跡　マイキャッスル府中中央地区　第1092次,むさしこくふかんれんいせき,42,東京都府中市府中町3-2-2,139.485077,35.675011,とうきょうとふちゅうし,13206,2,,,,,20000112-20000225,437.4,437.4,建物新築等
47685,91098,集落,奈良|平安,竪穴建物1|掘立柱建物2|土坑1,1,2,,,土師器|須恵器,,武蔵国府関連遺跡　マンション松本地区　第290次,むさしこくふかんれんいせき,13,東京都府中市宮町1-3-44,139.481506,35.667938,とうきょうとふちゅうし,13206,2,,,,,19851210-19860502,169.2,169.2,建物新築等
47710,91099,集落,奈良|平安,竪穴建物5|掘立柱建物1|道路1|土坑3,5,1,,1,,,武蔵国府関連遺跡　ミオカステーロ府中緑町地区　第1410次,むさしこくふかんれんいせき,26,東京都府中市緑町1-12-6/16,139.488846,35.672737,とうきょうとふちゅうしみどりちょう,13206,2,,,,,20080303-20080401,360.7,360.7,
